generation,games,positions,policy_loss,value_loss,aux_margin_loss,anchor_policy_loss,anchor_value_loss,entropy,sampled_priority_mean,sampled_priority_max,lr,games_per_hour,leaves_per_sec,nn_evals_per_sec,inference_pct,plumbing_pct,workers,aggregate_games_per_hour,server_evals_per_sec,server_mean_batch_size,server_batch_wait_p50_ms,server_batch_wait_p99_ms,wall_time,eval_opponent,eval_games,eval_wins,eval_losses,eval_ties,eval_truncated,eval_end_province,eval_end_piles,eval_end_trunc,eval_win_pct_excl_ties,eval_games_per_hour,gate_result,gate_win_pct,best_generation,league_games,deep_games,deep_positions,kingdom_phase,scripted_games,scripted_wins,routed_fast_path_batches,routed_split_batches,opening_templates_enabled,opening_lambda,opening_p_unconstrained,mean_cards_trashed_per_game,opening_template_games_t0,opening_template_games_t1,opening_template_games_t2,opening_template_games_t3,opening_template_games_t4,opening_template_games_t5,opening_template_games_t6,opening_template_vs_unconstrained_games_t1,opening_template_vs_unconstrained_games_t2,opening_template_vs_unconstrained_games_t3,opening_template_vs_unconstrained_games_t4,opening_template_vs_unconstrained_games_t5,opening_template_vs_unconstrained_games_t6,opening_template_win_rate_vs_unconstrained_t1,opening_template_win_rate_vs_unconstrained_t2,opening_template_win_rate_vs_unconstrained_t3,opening_template_win_rate_vs_unconstrained_t4,opening_template_win_rate_vs_unconstrained_t5,opening_template_win_rate_vs_unconstrained_t6,unconstrained_buys_chapel,unconstrained_buys_sentry,unconstrained_buys_moneylender,unconstrained_buys_village,sentinel_bigmoney_games,sentinel_bigmoney_wins,sentinel_engine3_games,sentinel_engine3_wins,sentinel_thinner_games,sentinel_thinner_wins,league_games_self_0010.pt,league_wins_self_0010.pt,league_games_self_0030.pt,league_wins_self_0030.pt
1,2048,574058,0.9141668199698131,0.16752463974555334,1.5842957581679027,0.5484390191237132,0.10799476794401805,0.8918145775794983,nan,nan,0.0002,17.628206920860432,365.64455821728745,368.3706255927083,99.25996613572687,0.622140820203151,160,1295.426857610906,99524.81877096363,102.85477279728173,0.007004641325084402,0.022973495469894304,7200.620867293037,engine3,200,54,144,2,0,155,45,0,27.272727272727273,2490.52142268536,,,,0,0,0,"1-20:pool:0.500000:Sentry,Moneylender,Village,Laboratory,Market,Festival,Smithy,Merchant,Poacher,Witch,Cellar,Harbinger",0,0,26906645,0,False,0.0,1.0,13.56787109375,4096,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,100,49,200,57,200,86,,,,
2,2048,398483,0.9570790646076203,0.10997316720088322,1.096437469482422,0.5598791707754135,0.04758790595953663,0.941714772383372,nan,nan,0.0001999622406787389,34.2781904177896,465.1119126254778,469.1439014897654,99.14056457912294,0.7425490447866718,160,3739.1033156386907,158502.87509566205,195.72934894895835,0.007547176041606586,0.022738055920109225,2072.366807056009,,,,,,,,,,,,,,,0,0,0,"1-20:pool:0.500000:Sentry,Moneylender,Village,Laboratory,Market,Festival,Smithy,Merchant,Poacher,Witch,Cellar,Harbinger",0,0,13010073,0,False,0.0,1.0,7.56640625,4096,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,,,,
3,2048,378902,0.9861872837543487,0.09366959190368652,0.864986293554306,0.5544379705190658,0.030659386322523158,0.9728873921235403,nan,nan,0.00019984900073539134,31.68592529503316,409.3194258939674,412.54373312267023,99.21843262427062,0.6710754958705824,184,3499.1524692429284,158319.53255568206,191.79468487644564,0.008394640903192013,0.023275684490803892,3706.006326731993,engine3,200,62,137,1,0,144,56,0,31.155778894472363,2053.4173987773006,,,,0,0,0,"1-20:pool:0.500000:Sentry,Moneylender,Village,Laboratory,Market,Festival,Smithy,Merchant,Poacher,Witch,Cellar,Harbinger",0,0,13536651,0,False,0.0,1.0,6.97607421875,4096,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,100,46,200,69,200,88,,,,
4,2048,347373,1.0019978869756063,0.0838935341189305,0.7446432348489761,0.5527525516351064,0.021087579265236855,0.9906487142244975,nan,nan,0.00019966039419298137,33.975669433806544,401.9823209332965,405.0240851541984,99.24899176804661,0.6408190689657679,184,4168.6294430534745,160858.6635987379,193.53810364795726,0.007914968309469687,0.023715075085079005,1903.3831275199773,,,,,,,,,,,,,,,0,0,0,"1-20:pool:0.500000:Sentry,Moneylender,Village,Laboratory,Market,Festival,Smithy,Merchant,Poacher,Witch,Cellar,Harbinger",0,0,12872229,0,False,0.0,1.0,7.376953125,4096,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,,,,
8,2048,325763,1.021855227549871,0.07210675580302875,0.5959483651717504,0.5133168500264486,0.010136507647422452,1.0136095685958861,nan,nan,0.00019815723401640556,37.01980469505075,410.71889141897896,414.04707749089556,99.19618172598022,0.6892234889427029,184,3852.595006592219,158450.40331521764,180.35945079465876,0.007895225335378928,0.02339709616803439,3011.26184603601,engine3,200,67,130,3,0,153,47,0,34.01015228426396,2706.004086063929,,,,0,0,0,"1-20:pool:0.500000:Sentry,Moneylender,Village,Laboratory,Market,Festival,Smithy,Merchant,Poacher,Witch,Cellar,Harbinger",0,0,11946417,0,False,0.0,1.0,6.47412109375,4096,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,100,62,200,78,200,102,,,,
9,2048,318333,1.0320280809402467,0.07217248791456223,0.5996005793809891,0.5183773940006892,0.010266424192115665,1.0247267420291901,nan,nan,0.00019759615260472673,37.59162264124309,408.1479836132147,411.2971117230943,99.23434227469126,0.6533515827413668,184,2883.3178032273445,140643.0560501431,142.96788251031856,0.007636627060098424,0.023680959213394574,2752.763142430049,,,,,,,,,,,,,,,0,0,0,"1-20:pool:0.500000:Sentry,Moneylender,Village,Laboratory,Market,Festival,Smithy,Merchant,Poacher,Witch,Cellar,Harbinger",0,0,11972483,0,False,0.0,1.0,6.53125,4096,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,,,,
10,2048,328506,1.040782763560613,0.07220912186801434,0.5951332242488862,0.5058439716100692,0.00920335714162017,1.0337744370301565,nan,nan,0.00019696197302108731,35.96105259129355,402.5474803256129,405.68104183222846,99.22757999918778,0.6605567631727083,184,3079.8067174225334,144719.64890614507,153.475256067898,0.00798931301821703,0.02302146802974177,3830.5756317880005,engine3,200,81,114,5,1,143,56,1,41.53846153846154,2705.4520901261735,,,,0,0,0,"1-20:pool:0.500000:Sentry,Moneylender,Village,Laboratory,Market,Festival,Smithy,Merchant,Poacher,Witch,Cellar,Harbinger",0,0,12162891,0,False,0.0,1.0,6.83447265625,4096,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,100,54,200,78,200,111,0,0,,
11,2048,326662,1.0443489593664805,0.07017727467914422,0.5799872232278188,0.5028682728211085,0.008789907585984717,1.0381172397931417,nan,nan,0.0001962553338305709,26.409775600549082,293.5952809843699,295.25752685054135,99.43701829250475,0.4832214415188633,184,3149.497447369732,110966.45272598657,114.75768140291925,0.01075364788596237,0.034676478185066306,2551.8367111439584,,,,,,,,,,,,,,,317,0,0,"1-20:pool:0.500000:Sentry,Moneylender,Village,Laboratory,Market,Festival,Smithy,Merchant,Poacher,Witch,Cellar,Harbinger",0,0,9950638,1895418,False,0.0,1.0,6.2119140625,4096,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,317,173,,
12,2048,317053,1.0454330151875815,0.0684289836337169,0.5641508433421453,0.4943177506128947,0.008252898899527888,1.0398869320551554,nan,nan,0.00019547694655894313,28.177405257498222,304.0084590486892,305.796015749347,99.41544146797419,0.5033265592694377,184,3374.011803670599,116182.01496752305,121.74839675401998,0.01057856358571409,0.03453316713902643,2386.493068437965,,,,,,,,,,,,,,,328,0,0,"1-20:pool:0.500000:Sentry,Moneylender,Village,Laboratory,Market,Festival,Smithy,Merchant,Poacher,Witch,Cellar,Harbinger",0,0,9367996,1831423,False,0.0,1.0,6.0625,4096,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,328,189,,
13,2048,309840,1.048228984038035,0.06540114490191141,0.5370365959803264,0.4899212243159612,0.008638300930770735,1.0431039385795593,nan,nan,0.00019462759497620546,28.83559817655104,304.09297192401135,305.8876588529444,99.41328560437417,0.504942635968111,184,3329.2919041974483,107121.98180406351,109.65290640852608,0.010611183808121535,0.033887385562889595,2420.052718939027,,,,,,,,,,,,,,,338,0,0,"1-20:pool:0.500000:Sentry,Moneylender,Village,Laboratory,Market,Festival,Smithy,Merchant,Poacher,Witch,Cellar,Harbinger",0,0,9014188,1961065,False,0.0,1.0,5.43603515625,4096,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,338,171,,
